Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup
813.6000288,,,s,11.37627286,0.20764038,0.20764038,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset
1461.600029,,,s,4.055085354,0.128636,0.128636,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset
1623.600029,,,s,3.280952931,0.118675271,0.118675271,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset
5228.600026,,,s,0.648634434,0.017677089,0.017677089,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset
6664.599994,,,s,0.45289758,0.016381748,0.016381748,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset
28814.10002,,,s,0.082413812,0.008826998,0.008826998,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset
46161.10002,,,s,0.03801894,0.007819422,0.007819422,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset
638.6000256,,,s,15.27566058,0.140048098,0.140048098,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset
792.5999904,,,s,10.47128548,0.096001322,0.096001322,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset
5023.600042,,,s,0.591561634,0.016121697,0.016121697,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset
6459.60001,,,s,0.432513831,0.011787203,0.011787203,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset
18451.59998,,,s,0.110662378,0.005949524,0.005949524,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset
18724.09997,,,s,0.101859139,0.00635988,0.00635988,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset
28592.09997,,,s,0.063095734,0.00528613,0.00528613,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset
45939.09997,,,s,0.029107171,0.004218598,0.004218598,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset
614.6000064,,,s,11.06623784,0.201981604,0.201981604,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset
768.5999712,,,s,7.726805851,0.141030101,0.141030101,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset
1412.599997,,,s,2.466039337,0.10011964,0.10011964,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset
1574.599997,,,s,2.070141349,0.093171709,0.093171709,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset
6253.600032,,,s,0.316227766,0.011438267,0.011438267,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset
17845.59997,,,s,0.080167806,0.002899748,0.002899748,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset
28262.10001,,,s,0.043651583,0.003287044,0.003287044,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset
45608.10002,,,s,0.024660393,0.002580346,0.002580346,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset
589.5999936,,,s,11.16863248,0.203850516,0.203850516,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset
743.5999584,,,s,7.177942913,0.195618872,0.195618872,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset
1388.599978,,,s,2.355049284,0.126614135,0.126614135,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset
1549.599984,,,s,1.995262315,0.115945498,0.115945498,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset
1711.599984,,,s,1.706082389,0.10652436,0.10652436,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset
6048.599962,,,s,0.328095293,0.014766721,0.014766721,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset
12695.60002,,,s,0.105681751,0.006598556,0.006598556,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset
16938.59999,,,s,0.077268059,0.003477635,0.003477635,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset
30336.60004,,,s,0.034355795,0.003022938,0.003022938,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset
47683.60004,,,s,0.017218686,0.002290742,0.002290742,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset
122.2599744,,,s,660.693448,58.13386193,58.13386193,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset
162.9999936,,,s,366.4375746,29.15026599,29.15026599,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset
177.2999712,,,s,258.2260191,22.72109067,22.72109067,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset
192.1999968,,,s,272.8977783,35.21374962,35.21374962,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset
236.0200032,,,s,158.4893192,16.58356708,16.58356708,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset
279.4300416,,,s,98.1747943,12.66812301,12.66812301,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset
352.2299904,,,s,75.1622894,9.698671995,9.698671995,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset
1837.799971,,,s,3.076096815,0.165379697,0.165379697,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset
1969.200029,,,s,2.703958364,0.121698173,0.121698173,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset
2101.199962,,,s,2.466039337,0.175171684,0.175171684,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset
67991.99996,,,s,0.028575905,0.002273226,0.002273226,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset
68963.99996,,,s,0.030199517,0.002145181,0.002145181,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset
238686,,,s,0.005970353,0.000770393,0.000770393,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset
27987.60004,,,s,0.092896639,0.00580028,0.00580028,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset
29355.60001,,,s,0.081658237,0.006495948,0.006495948,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset
33089.99999,,,s,0.071779429,0.002596332,0.002596332,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset
34321.19999,,,s,0.064268772,0.007775074,0.007775074,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset
135.9999936,,,s,613.7620052,11.20241909,11.20241909,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
175.9999968,,,s,349.945167,6.387219128,6.387219128,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
215.0000064,,,s,233.3458062,4.259040951,4.259040951,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
254.000016,,,s,151.3561248,2.762560615,2.762560615,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
293.0000256,,,s,110.6623784,3.015857035,3.015857035,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
332.0000352,,,s,80.90958992,2.205010948,2.205010948,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
372.0000384,,,s,59.15616342,2.139736189,2.139736189,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
410.9999616,,,s,50.5824662,1.82961719,1.82961719,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
488.9999808,,,s,34.35579479,1.546265479,1.546265479,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
527.9999904,,,s,31.33285724,1.684543348,1.684543348,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
567,,,s,29.6483139,1.334393937,1.334393937,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
621,,,s,25.11886432,1.130535125,1.130535125,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
689.9999904,,,s,17.86487575,0.32607073,0.32607073,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
758.9999808,,,s,14.99684836,0.273723331,0.273723331,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
828.9999648,,,s,13.30454418,0.242835298,0.242835298,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
928.0000224,,,s,10.47128548,0.2853716,0.2853716,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1056.999974,,,s,8.016780634,0.360814565,0.360814565,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1143.000029,,,s,6.854882265,0.368537929,0.368537929,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
