Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,SlopGroup
105.669,,,s,7.82E-08,8.63E-09,8.63E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
106.779,,,s,8.72E-08,9.75E-09,9.75E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
108.008,,,s,7.21E-08,8.10E-09,8.10E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
109.227,,,s,8.25E-08,9.22E-09,9.22E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
110.2913,,,s,1.05E-07,1.11E-08,1.11E-08,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
111.316,,,s,7.72E-08,8.45E-09,8.45E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
112.599,,,s,6.81E-08,7.77E-09,7.77E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
113.783,,,s,9.25E-08,9.92E-09,9.92E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
114.935,,,s,7.96E-08,8.82E-09,8.82E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
116.271,,,s,6.47E-08,7.35E-09,7.35E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
117.513,,,s,8.65E-08,9.03E-09,9.03E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
118.852,,,s,6.42E-08,7.04E-09,7.04E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
120.421,,,s,6.24E-08,6.91E-09,6.91E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
121.908,,,s,6.50E-08,7.21E-09,7.21E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
123.218,,,s,7.14E-08,7.98E-09,7.98E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
124.616,,,s,6.36E-08,6.97E-09,6.97E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
126.046,,,s,6.33E-08,7.02E-09,7.02E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
127.568,,,s,6.97E-08,7.70E-09,7.70E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
129.098,,,s,5.40E-08,6.17E-09,6.17E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
130.642,,,s,6.67E-08,7.83E-09,7.83E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
132.139,,,s,7.11E-08,8.58E-09,8.58E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
133.376,,,s,7.53E-08,8.98E-09,8.98E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
134.743,,,s,7.16E-08,9.99E-09,9.99E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
136.163,,,s,6.46E-08,9.40E-09,9.40E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
137.746,,,s,5.75E-08,7.30E-09,7.30E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
139.55,,,s,5.21E-08,7.85E-09,7.85E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
141.15,,,s,6.25E-08,9.37E-09,9.37E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
142.663,,,s,6.43E-08,1.13E-08,1.13E-08,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
144.307,,,s,5.37E-08,1.10E-08,1.10E-08,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
146.122,,,s,4.93E-08,9.23E-09,9.23E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
148.189,,,s,4.77E-08,6.46E-09,6.46E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
150.062,,,s,5.29E-08,8.52E-09,8.52E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
151.997,,,s,4.30E-08,6.05E-09,6.05E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
153.6593,,,s,5.14E-08,5.73E-09,5.73E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
154.5339,,,s,5.14E-08,5.52E-09,5.52E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
155.3483,,,s,5.25E-08,5.74E-09,5.74E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
156.1921,,,s,4.94E-08,5.37E-09,5.37E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
157.099,,,s,4.28E-08,4.63E-09,4.63E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
158.0629,,,s,4.56E-08,5.04E-09,5.04E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
158.9527,,,s,4.75E-08,5.27E-09,5.27E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
159.903,,,s,4.25E-08,4.60E-09,4.60E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
160.8868,,,s,4.36E-08,4.91E-09,4.91E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
161.8255,,,s,4.90E-08,5.35E-09,5.35E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
162.775,,,s,4.06E-08,4.59E-09,4.59E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
163.757,,,s,4.14E-08,4.47E-09,4.47E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
164.7749,,,s,4.60E-08,4.96E-09,4.96E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
165.6912,,,s,4.48E-08,4.84E-09,4.84E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
166.6286,,,s,4.59E-08,4.97E-09,4.97E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
167.5707,,,s,4.64E-08,5.09E-09,5.09E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
168.536,,,s,4.12E-08,4.52E-09,4.52E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
169.581,,,s,3.97E-08,4.36E-09,4.36E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
