Time,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,HostGroup,SlopGroup,,,,,,,,,,,,,,,
30624,s,0.04130475,0.009094062,0.009094062,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,,,,,,,,,,,,,,,
1147.2,s,0.265460556,0.040555096,0.040555096,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,,slop_uvot,,,,,,,,,,,,,,,
1318.8,s,0.21677041,0.038121653,0.038121653,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,,slop_uvot,,,,,,,,,,,,,,,
1493.4,s,0.173780083,0.034464403,0.034464403,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,,slop_uvot,,,,,,,,,,,,,,,
1666.2,s,0.136772883,0.032060028,0.032060028,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,,slop_uvot,,,,,,,,,,,,,,,
1838.4,s,0.164437172,0.035017588,0.035017588,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,,slop_uvot,,,,,,,,,,,,,,,
2011.8,s,0.114815362,0.030869363,0.030869363,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,,slop_uvot,,,,,,,,,,,,,,,
2184,s,0.214783047,0.037772152,0.037772152,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,,slop_uvot,,,,,,,,,,,,,,,
6444,s,0.044055486,0.008737169,0.008737169,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,,slop_uvot,,,,,,,,,,,,,,,
13782,s,0.032210688,0.009302011,0.009302011,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,,slop_uvot,,,,,,,,,,,,,,,
30930,s,0.027797133,0.006710851,0.006710851,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,,slop_uvot,,,,,,,,,,,,,,,
31146,s,0.017378008,0.008587783,0.008587783,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,,slop_uvot,,,,,,,,,,,,,,,
1048.8,s,0.316227766,0.078543737,0.078543737,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,,slop_uvot,,,,,,,,,,,,,,,
1221,s,0.235504928,0.071067756,0.071067756,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,,slop_uvot,,,,,,,,,,,,,,,
1392.6,s,0.253512863,0.073211089,0.073211089,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,,slop_uvot,793.2,s,0.349945167,0.079549331,0.079549331,mJy,Spectral Flux,1.55E+15,,,Hz,uvw2,uvw2_offset,,uvot
1566.6,s,0.277971327,0.076598902,0.076598902,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,,slop_uvot,670.2,s,0.401790811,0.108025846,0.108025846,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset,,uvot
1740,s,0.114815362,0.055659199,0.055659199,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,,slop_uvot,694.8,s,0.711213514,0.114178227,0.114178227,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,,uvot
1913.4,s,0.322106879,0.082223587,0.082223587,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,,slop_uvot,709.2,s,0.539510623,0.130249963,0.130249963,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,uvot
2085.6,s,0.165958691,0.064099552,0.064099552,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,,slop_uvot,718.8,s,0.483058802,0.092217906,0.092217906,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,uvot
2259.6,s,0.337287309,0.08142872,0.08142872,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,,slop_uvot,729,s,0.436515832,0.126059873,0.126059873,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,uvot
12042,s,0.054954087,0.01514337,0.01514337,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,,slop_uvot,309,s,1.445439771,0.163109188,0.163109188,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,uvot
12210,s,0.044874539,0.031691972,0.031691972,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,,slop_uvot,319.2,s,1.106623784,0.14279476,0.14279476,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,uvot
27192,s,0.049203954,0.000898073,0.000898073,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,r_host,slop_other,328.8,s,1.148153621,0.148153621,0.148153621,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,uvot
34398,s,0.03944573,0.002801973,0.002801973,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,r_host,slop_other,339,s,1.169499391,0.141483093,0.141483093,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,uvot
29958,s,0.049659232,0.001796223,0.001796223,mJy,Spectral Flux,3.94E+14,,,Hz,r,r_offset,r_host,slop_other,349.2,s,1.037528416,0.133878942,0.133878942,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,uvot
1526400,s,0.006546362,0.000630745,0.000630745,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,r_host,slop_other,358.8,s,1.047128548,0.135117709,0.135117709,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,uvot
28848000,s,0.007943282,0.000765339,0.000765339,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,r_host,slop_other,369,s,0.73790423,0.118463155,0.118463155,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,uvot
28926000,s,0.005597576,0.000722291,0.000722291,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,r_host,slop_other,379.2,s,0.946237161,0.12965479,0.12965479,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,uvot
29022000,s,0.007046931,0.000909311,0.000909311,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,r_host,slop_other,388.8,s,0.937562007,0.128466108,0.128466108,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,uvot
561600,s,0.005754399,0.000506325,0.000506325,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,r_host,slop_other,399,s,0.72443596,0.116300959,0.116300959,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,uvot
1597200,s,0.005345644,0.000689783,0.000689783,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,r_host,slop_other,409.2,s,1.018591388,0.131435376,0.131435376,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,uvot
2289000,s,0.00510505,0.00036263,0.00036263,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,r_host,slop_other,418.8,s,0.648634434,0.109123811,0.109123811,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,uvot
4279200,s,0.006309573,0.001738692,0.001738692,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,r_host,slop_other,429,s,0.717794291,0.115234705,0.115234705,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,uvot
6258000,s,0.003630781,0.000638516,0.000638516,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,r_host,slop_other,439.2,s,0.809095899,0.123607673,0.123607673,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,uvot
560700,s,0.007943282,0.00056424,0.00056424,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,i_host,slop_other,448.8,s,0.549540874,0.100795484,0.100795484,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,uvot
561000,s,0.008629785,0.000613005,0.000613005,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,i_host,slop_other,459,s,0.73790423,0.112731537,0.112731537,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,uvot
561240,s,0.007870458,0.000559067,0.000559067,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,i_host,slop_other,469.2,s,0.772680585,0.118044411,0.118044411,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,uvot
1597800,s,0.00691831,0.000608736,0.000608736,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,i_host,slop_other,478.8,s,0.87096359,0.126231616,0.126231616,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,uvot
1597800,s,0.006982324,0.000555447,0.000555447,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,i_host,slop_other,489,s,0.575439937,0.105545829,0.105545829,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,uvot
2289600,s,0.007046931,0.000378863,0.000378863,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,i_host,slop_other,499.2,s,0.625172693,0.105176696,0.105176696,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,uvot
2289600,s,0.007112135,0.000444067,0.000444067,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,i_host,slop_other,508.8,s,0.672976656,0.108039681,0.108039681,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,uvot
4279200,s,0.006426877,0.000777507,0.000777507,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,i_host,slop_other,519,s,0.809095899,0.117264928,0.117264928,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,uvot
4279800,s,0.006606934,0.000905292,0.000905292,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,i_host,slop_other,529.2,s,0.440554864,0.090609696,0.090609696,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,uvot
6252000,s,0.006546362,0.000738718,0.000738718,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,i_host,slop_other,538.8,s,0.704693069,0.113131435,0.113131435,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,uvot
6252000,s,0.006606934,0.000745553,0.000745553,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,i_host,slop_other,549,s,0.666806769,0.112181056,0.112181056,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,uvot
250.884,s,2.19E-09,4.31E-10,4.31E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,570.6,s,0.42854852,0.051844721,0.051844721,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,,uvot
252.581,s,2.51E-09,4.78E-10,4.78E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,743.4,s,0.376703799,0.045572678,0.045572678,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,,uvot
254.551,s,1.80E-09,3.44E-10,3.44E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,644.4,s,0.642687717,0.103177095,0.103177095,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,,uvot
256.809,s,1.54E-09,2.96E-10,2.96E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,818.4,s,0.483058802,0.095801157,0.095801157,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,,uvot
258.848,s,2.11E-09,3.99E-10,3.99E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
260.784,s,1.80E-09,3.53E-10,3.53E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
263.04,s,1.78E-09,3.45E-10,3.45E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
265.133,s,1.66E-09,3.17E-10,3.17E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
267.095,s,2.42E-09,4.78E-10,4.78E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
268.783,s,2.17E-09,4.12E-10,4.12E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
271.06,s,1.48E-09,2.83E-10,2.83E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
273.021,s,2.62E-09,4.90E-10,4.90E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
274.888,s,1.99E-09,3.77E-10,3.77E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
276.464,s,2.53E-09,4.80E-10,4.80E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
278.622,s,1.48E-09,2.81E-10,2.81E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
281.006,s,1.84E-09,3.59E-10,3.59E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
282.906,s,1.95E-09,3.70E-10,3.70E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
284.505,s,2.76E-09,5.17E-10,5.17E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
286.412,s,1.86E-09,3.48E-10,3.48E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
288.298,s,2.01E-09,3.83E-10,3.83E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
290.364,s,1.97E-09,3.76E-10,3.76E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
